1	ivy	80	77.5	85	40.06	38.78	42.95
2	ant	71.69	71.08	78.31	38	35.06	44.21
3	jedit	63.64	54.55	63.64	44.91	43.45	45.74
4	poi	60.72	57.3	69.04	19.25	17.39	26.71
5	camel	53.72	52.13	54.79	37.32	28.83	38.35
6	veloci	50	46.15	50	30.46	22.52	31.79
7	xalan	41.65	39.2	58.46	0	0	0
8	xerces	35.93	30.89	41.19	5.96	5.3	11.26
9	log4j	30.16	30.16	35.98	18.75	12.5	25
